antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'DOLLY GIRL CHILDRENS CUP', 'SPACEBOY CHILDRENS BOWL'})","frozenset({'SPACEBOY CHILDRENS CUP', 'DOLLY GIRL CHILDRENS BOWL'})",0.02947845804988662,0.024943310657596373,0.024943310657596373,0.8461538461538461,33.92307692307692,1.0,0.024208020320751127,6.337868480725623,0.9999999999999999,0.846153846153846,0.8422182468694096,0.9230769230769231
"frozenset({'SPACEBOY CHILDRENS CUP', 'DOLLY GIRL CHILDRENS BOWL'})","frozenset({'DOLLY GIRL CHILDRENS CUP', 'SPACEBOY CHILDRENS BOWL'})",0.024943310657596373,0.02947845804988662,0.024943310657596373,1.0,33.92307692307692,1.0,0.024208020320751127,inf,0.9953488372093022,0.846153846153846,1.0,0.9230769230769231
frozenset({'RECYCLED ACAPULCO MAT TURQUOISE'}),frozenset({'RECYCLED ACAPULCO MAT LAVENDER'}),0.027210884353741496,0.022675736961451247,0.02040816326530612,0.75,33.075,1.0,0.01979113640921221,3.909297052154195,0.996891996891997,0.6923076923076923,0.744199535962877,0.825
frozenset({'RECYCLED ACAPULCO MAT LAVENDER'}),frozenset({'RECYCLED ACAPULCO MAT TURQUOISE'}),0.022675736961451247,0.027210884353741496,0.02040816326530612,0.8999999999999999,33.074999999999996,1.0,0.01979113640921221,9.727891156462576,0.9922660479505027,0.6923076923076923,0.897202797202797,0.825
"frozenset({'SET20 RED RETROSPOT PAPER NAPKINS ', 'PACK OF 6 SKULL PAPER PLATES', 'SET6 RED SPOTTY PAPER CUPS'})","frozenset({'PACK OF 20 SKULL PAPER NAPKINS', 'PACK OF 6 SKULL PAPER CUPS', 'SET6 RED SPOTTY PAPER PLATES'})",0.02947845804988662,0.027210884353741496,0.024943310657596373,0.8461538461538461,31.096153846153847,1.0,0.02414117574467429,6.32312925170068,0.9972387425658453,0.7857142857142858,0.8418504572350726,0.8814102564102564
"frozenset({'PACK OF 20 SKULL PAPER NAPKINS', 'PACK OF 6 SKULL PAPER CUPS', 'SET6 RED SPOTTY PAPER CUPS'})","frozenset({'SET20 RED RETROSPOT PAPER NAPKINS ', 'PACK OF 6 SKULL PAPER PLATES', 'SET6 RED SPOTTY PAPER PLATES'})",0.027210884353741496,0.02947845804988662,0.024943310657596373,0.9166666666666667,31.096153846153847,1.0,0.02414117574467429,11.646258503401372,0.9949141767323586,0.7857142857142858,0.9141355140186916,0.8814102564102564
"frozenset({'SET20 RED RETROSPOT PAPER NAPKINS ', 'PACK OF 6 SKULL PAPER PLATES', 'SET6 RED SPOTTY PAPER PLATES'})","frozenset({'PACK OF 20 SKULL PAPER NAPKINS', 'PACK OF 6 SKULL PAPER CUPS', 'SET6 RED SPOTTY PAPER CUPS'})",0.02947845804988662,0.027210884353741496,0.024943310657596373,0.8461538461538461,31.096153846153847,1.0,0.02414117574467429,6.32312925170068,0.9972387425658453,0.7857142857142858,0.8418504572350726,0.8814102564102564
"frozenset({'PACK OF 20 SKULL PAPER NAPKINS', 'PACK OF 6 SKULL PAPER CUPS', 'SET6 RED SPOTTY PAPER PLATES'})","frozenset({'SET20 RED RETROSPOT PAPER NAPKINS ', 'PACK OF 6 SKULL PAPER PLATES', 'SET6 RED SPOTTY PAPER CUPS'})",0.027210884353741496,0.02947845804988662,0.024943310657596373,0.9166666666666667,31.096153846153847,1.0,0.02414117574467429,11.646258503401372,0.9949141767323586,0.7857142857142858,0.9141355140186916,0.8814102564102564
frozenset({'RECYCLED ACAPULCO MAT RED'}),frozenset({'RECYCLED ACAPULCO MAT LAVENDER'}),0.02947845804988662,0.022675736961451247,0.02040816326530612,0.6923076923076923,30.53076923076923,1.0,0.019739717504537718,3.1763038548752833,0.9966251298027,0.6428571428571428,0.6851686596466179,0.7961538461538461
frozenset({'RECYCLED ACAPULCO MAT LAVENDER'}),frozenset({'RECYCLED ACAPULCO MAT RED'}),0.022675736961451247,0.02947845804988662,0.02040816326530612,0.8999999999999999,30.530769230769227,1.0,0.019739717504537718,9.705215419501126,0.9896880639340037,0.6428571428571428,0.8969626168224298,0.7961538461538461
"frozenset({'PACK OF 20 SKULL PAPER NAPKINS', 'SET6 RED SPOTTY PAPER PLATES'})","frozenset({'SET20 RED RETROSPOT PAPER NAPKINS ', 'PACK OF 6 SKULL PAPER PLATES', 'SET6 RED SPOTTY PAPER CUPS'})",0.031746031746031744,0.02947845804988662,0.027210884353741496,0.8571428571428572,29.07692307692308,1.0,0.02627506028866573,6.793650793650797,0.9972677595628415,0.8,0.8528037383177571,0.8901098901098901
"frozenset({'SET20 RED RETROSPOT PAPER NAPKINS ', 'PACK OF 6 SKULL PAPER PLATES', 'SET6 RED SPOTTY PAPER CUPS'})","frozenset({'PACK OF 20 SKULL PAPER NAPKINS', 'SET6 RED SPOTTY PAPER PLATES'})",0.02947845804988662,0.031746031746031744,0.027210884353741496,0.923076923076923,29.076923076923077,1.0,0.02627506028866573,12.587301587301578,0.9949376947040498,0.8,0.9205548549810845,0.8901098901098901
"frozenset({'PACK OF 20 SKULL PAPER NAPKINS', 'SET6 RED SPOTTY PAPER PLATES'})","frozenset({'SET20 RED RETROSPOT PAPER NAPKINS ', 'PACK OF 6 SKULL PAPER CUPS', 'PACK OF 6 SKULL PAPER PLATES', 'SET6 RED SPOTTY PAPER CUPS'})",0.031746031746031744,0.027210884353741496,0.024943310657596373,0.7857142857142858,28.875000000000004,1.0,0.024079473059064896,4.539682539682541,0.9970193740685542,0.7333333333333335,0.7797202797202798,0.8511904761904763
"frozenset({'SET20 RED RETROSPOT PAPER NAPKINS ', 'PACK OF 6 SKULL PAPER PLATES'})","frozenset({'SET6 RED SPOTTY PAPER PLATES', 'PACK OF 20 SKULL PAPER NAPKINS', 'PACK OF 6 SKULL PAPER CUPS', 'SET6 RED SPOTTY PAPER CUPS'})",0.031746031746031744,0.027210884353741496,0.024943310657596373,0.7857142857142858,28.875000000000004,1.0,0.024079473059064896,4.539682539682541,0.9970193740685542,0.7333333333333335,0.7797202797202798,0.8511904761904763
"frozenset({'SET20 RED RETROSPOT PAPER NAPKINS ', 'PACK OF 20 SKULL PAPER NAPKINS', 'SET6 RED SPOTTY PAPER PLATES'})","frozenset({'PACK OF 6 SKULL PAPER CUPS', 'PACK OF 6 SKULL PAPER PLATES', 'SET6 RED SPOTTY PAPER CUPS'})",0.027210884353741496,0.031746031746031744,0.024943310657596373,0.9166666666666667,28.875000000000004,1.0,0.024079473059064896,11.61904761904763,0.9923712650985378,0.7333333333333335,0.9139344262295083,0.8511904761904763
"frozenset({'PACK OF 6 SKULL PAPER CUPS', 'PACK OF 6 SKULL PAPER PLATES', 'SET6 RED SPOTTY PAPER PLATES'})","frozenset({'SET20 RED RETROSPOT PAPER NAPKINS ', 'PACK OF 20 SKULL PAPER NAPKINS', 'SET6 RED SPOTTY PAPER CUPS'})",0.031746031746031744,0.027210884353741496,0.024943310657596373,0.7857142857142858,28.875000000000004,1.0,0.024079473059064896,4.539682539682541,0.9970193740685542,0.7333333333333335,0.7797202797202798,0.8511904761904763
"frozenset({'SET20 RED RETROSPOT PAPER NAPKINS ', 'PACK OF 6 SKULL PAPER PLATES'})","frozenset({'PACK OF 20 SKULL PAPER NAPKINS', 'PACK OF 6 SKULL PAPER CUPS', 'SET6 RED SPOTTY PAPER PLATES'})",0.031746031746031744,0.027210884353741496,0.024943310657596373,0.7857142857142858,28.875000000000004,1.0,0.024079473059064896,4.539682539682541,0.9970193740685542,0.7333333333333335,0.7797202797202798,0.8511904761904763
"frozenset({'SET20 RED RETROSPOT PAPER NAPKINS ', 'PACK OF 6 SKULL PAPER CUPS', 'PACK OF 6 SKULL PAPER PLATES', 'SET6 RED SPOTTY PAPER CUPS'})","frozenset({'PACK OF 20 SKULL PAPER NAPKINS', 'SET6 RED SPOTTY PAPER PLATES'})",0.027210884353741496,0.031746031746031744,0.024943310657596373,0.9166666666666667,28.875000000000004,1.0,0.024079473059064896,11.61904761904763,0.9923712650985378,0.7333333333333335,0.9139344262295083,0.8511904761904763
"frozenset({'SET6 RED SPOTTY PAPER PLATES', 'PACK OF 20 SKULL PAPER NAPKINS', 'PACK OF 6 SKULL PAPER CUPS', 'SET6 RED SPOTTY PAPER CUPS'})","frozenset({'SET20 RED RETROSPOT PAPER NAPKINS ', 'PACK OF 6 SKULL PAPER PLATES'})",0.027210884353741496,0.031746031746031744,0.024943310657596373,0.9166666666666667,28.875000000000004,1.0,0.024079473059064896,11.61904761904763,0.9923712650985378,0.7333333333333335,0.9139344262295083,0.8511904761904763
"frozenset({'SET20 RED RETROSPOT PAPER NAPKINS ', 'PACK OF 20 SKULL PAPER NAPKINS', 'SET6 RED SPOTTY PAPER CUPS'})","frozenset({'PACK OF 6 SKULL PAPER CUPS', 'PACK OF 6 SKULL PAPER PLATES', 'SET6 RED SPOTTY PAPER PLATES'})",0.027210884353741496,0.031746031746031744,0.024943310657596373,0.9166666666666667,28.875000000000004,1.0,0.024079473059064896,11.61904761904763,0.9923712650985378,0.7333333333333335,0.9139344262295083,0.8511904761904763
